Time: 2020-08-30 10:19:35.422246, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:40.427632, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:45.441689, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:50.446988, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:19:55.454503, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:00.462670, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:05.469216, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:10.476363, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:15.488292, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:20.495387, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:25.499901, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:30.510615, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:35.516872, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:40.528754, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:45.569764, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:50.580391, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:20:55.592524, Messages: 1, Members Joined: 1 
Time: 2020-08-30 10:21:00.597156, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:05.599826, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:10.606551, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:15.612871, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:20.619051, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:25.624924, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:30.637500, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:35.640746, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:40.648563, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:45.653620, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:50.663065, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:21:55.678574, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:22:00.688252, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:22:05.694672, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:22:10.700362, Messages: 1, Members Joined: 0 
Time: 2020-08-30 10:22:15.699893, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:22:20.736073, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:22:25.746793, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:22:30.755739, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:22:35.764010, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:22:40.768649, Messages: 0, Members Joined: 0 
Time: 2020-08-30 10:22:45.775748, Messages: 0, Members Joined: 0 
